Source,title,description,url,image,date,keyword
https://www.reuters.com/,Nasdaq jumps as easing Treasury yields lift growth stocks; Twitter surges,"If gains hold, the Nasdaq index is set to notch its best single-day performance since July 27.",https://www.reuters.com/markets/europe/wall-st-futures-jump-treasury-yields-retreat-2022-10-04/,https://www.reuters.com/resizer/rmq_nTV8Eoe-eUHpJxwHWg7C85E=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5OVQG7Z2ENIFTHEIOPJOPRFFYI.jpg,2022-10-04,tesla
https://www.reuters.com/,Ford reports strong demand for new vehicles in September,Ford Motor Co on Tuesday reported strong demand for new vehicles in the United States in September amid inflation worries but supply issues weighed on sales.,https://www.reuters.com/business/autos-transportation/ford-reports-strong-demand-new-vehicles-september-2022-10-04/,https://www.reuters.com/resizer/0plxXeKIULIfZJK3fegHc58IDSE=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WVXFLDPFBVPDFOVPOO4LFOBXHU.jpg,2022-10-04,tesla
https://www.reuters.com/,Twitter surges after report Musk will go through with deal,Shares of Tesla Inc pared early gains while Twitter Inc surged on Tuesday after a report that billionaire Elon Musk is expected to propose going ahead with his takeover of the social media platform at $54.20 per share.,https://www.reuters.com/markets/europe/twitter-surges-after-report-musk-will-go-through-with-deal-2022-10-04/,https://www.reuters.com/resizer/Yr1OkYy2Jq9R1lFewxz3ePsTnU0=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OPQERNZXHBPZNLY5F25Q276YMQ.jpg,2022-10-04,tesla
https://www.reuters.com/,Musk plans to go ahead with original price of $54.20 a share for Twitter: sources,"Billionaire Elon Musk is proposing to go ahead with his original offer of $54.20 per share to take Twitter Inc private, two sources familiar with the matter said on Tuesday, sending shares of the social media firm surging.",https://www.reuters.com/markets/europe/musk-said-go-ahead-with-5420-share-twitter-deal-bloomberg-reporter-2022-10-04/,https://www.reuters.com/resizer/eoT8J3ZSjobVwO3TOr5TYhJgqZs=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OTG5PP2DMNKAZLN56P6VHIF67U.jpg,2022-10-04,tesla
https://www.reuters.com/,Berkshire successor isn’t following Buffett’s lead,"Warren Buffett has long been a proponent of bosses eating their own cooking. His salary for running $618 billion Berkshire Hathaway has been $100,000 annually for decades, but he owns about $100 billion of the company’s stock. Designated successor Greg Abel, who oversees the company’s non-insurance operations, received $19 million in compensation annually. A recent $68 million purchase of shares doesn’t quite live up to the Buffett standard.",https://www.reuters.com/breakingviews/berkshire-successor-isnt-following-buffetts-lead-2022-10-04/,https://www.reuters.com/resizer/BxDvDEXs6iciwHauM_dqcfMEqw4=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ROI47JRVZBPD5CVJD4DD3MIEWQ.jpg,2022-10-04,tesla
https://www.reuters.com/,Analysis: Tesla could face its toughest challenge yet as economy cools,"As recently as July, Tesla Chief Executive Elon Musk said the electric-car maker did not have a problem with customer demand, simply a problem making and shipping all the Model Ys and Model 3s consumers were ready to buy.",https://www.reuters.com/business/autos-transportation/tesla-could-face-its-toughest-challenge-yet-economy-cools-2022-10-04/,https://www.reuters.com/resizer/0uU58iddkGky-kdsXlvJ7uR1Nbw=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KUWTLOUO4VKX5PLIHBFWHTVDPU.jpg,2022-10-04,tesla
https://www.reuters.com/,Rivian shares jump on backing 2022 production target,"Shares of Rivian Automotive Inc rose nearly 8% in premarket trading on Tuesday after the company delivered a record number of vehicles in the third quarter and backed its target of producing 25,000 vehicles this year.",https://www.reuters.com/business/autos-transportation/rivian-shares-jump-backing-2022-production-target-2022-10-04/,https://www.reuters.com/resizer/FRKXfvXtThxVO2XMwvK7BIV-H54=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/CPMZFKMVAZOSBLH5DGLJBI4GXE.jpg,2022-10-04,tesla
https://www.reuters.com/,M6 sale flop requires Bertelsmann detour,"Bertelsmann has learned to its detriment not to ignore regulators’ warnings. The German media group’s plan to merge its French television channel M6 with local rival TF1 flopped after competition authorities blocked it last month. That prompted Bertelsmann to put the “Top Chef” channel up for sale, but it has now  after regulators warned the group that time was running out to renew M6’s free-to-air licence. Once renewed, Chief Executive Thomas Rabe will be stuck with the TV channel for five years.",https://www.reuters.com/breakingviews/m6-sale-flop-requires-bertelsmann-detour-2022-10-04/,https://www.reuters.com/resizer/-nYm8Rwsx8KuBdqeSnXp8T7nNoM=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/55OKKONYFNKNXO4TILUBYYZZO4.jpg,2022-10-04,tesla
https://www.reuters.com/,Kremlin welcomes Elon Musk proposal for Ukraine settlement denounced by Kyiv,"The Kremlin praised Tesla boss Elon Musk on Tuesday for suggesting a possible peace deal to end the war in Ukraine, after Kyiv rebuked Musk for proposing terms it views as rewarding Russia.",https://www.reuters.com/world/europe/kremlin-welcomes-elon-musk-proposal-ukraine-settlement-denounced-by-kyiv-2022-10-04/,https://www.reuters.com/resizer/NSNvbBnHGJRPT9d0K-paL44aSq0=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/W4FEET4DMFOY7A65E4ECZ4FL4U.jpg,2022-10-04,tesla
https://www.reuters.com/,Former Tesla executive joins board of rival automaker GM,A former Tesla senior executive and chief operating officer at ride hailing company Lyft is joining General Motors board of directors.,https://www.reuters.com/business/autos-transportation/former-tesla-executive-joins-board-rival-automaker-gm-2022-10-04/,https://www.reuters.com/resizer/Q3AmD35QBg2M0Q3aLW-rFlonnhE=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/U7WSE5XILFLLNKPARCJVJ5NERA.jpg,2022-10-04,tesla
https://www.reuters.com/,Morning Bid: Stress buster,A look at the day ahead in U.S. and global markets from Mike Dolan,https://www.reuters.com/markets/europe/global-markets-view-usa-2022-10-04/,https://www.reuters.com/resizer/7VRxOgIh820DvUZywHDP9eAI96s=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QEMPLPHJ5JP7FNELYAWAXTWLB4.jpg,2022-10-04,tesla
https://www.reuters.com/,Shocker Aussie hike sends global calming signal,"Headline inflation Down Under is running at 7%. Yet the Reserve Bank of Australia on Tuesday increased interest rates by just 25 basis points, half of what the market expected. Rather than panic that Governor Philip Lowe has thrown in the towel, traders in stock, bond and currency markets gave him the thumbs up. There are reasons to slow the tightening: global bond yields have been falling in recent days, suggesting the worst of the inflation crisis may be over.",https://www.reuters.com/breakingviews/shocker-aussie-hike-sends-global-calming-signal-2022-10-04/,https://www.reuters.com/resizer/hl7qAv5nI-py9xjieJmx5WJPGAg=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JK7S3W2DBBIZLJY6QGQ7HUXZ2I.jpg,2022-10-04,tesla
https://www.reuters.com/,Tesla greases supply-chain fears,"Tesla is growing again, but there’s little comfort for the industry. The $760 billion electric-vehicle manufacturer produced nearly 366,000 cars in the third quarter, a 41% increase from the previous three-month stretch that also reversed a first-half slump. The number of cars it delivered to customers, however, fell 5% short of what analysts were expecting, which the company attributed to shipping woes. Tesla shares tumbled 8% on Monday.",https://www.reuters.com/breakingviews/tesla-greases-supply-chain-fears-2022-10-03/,https://www.reuters.com/resizer/m_2efw2_YC-cV2qF_QewKc8thb8=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NZASVZ2JVBMRFLFW4VBPBCV7DY.jpg,2022-10-03,tesla
https://www.reuters.com/,Musk and Zelenskiy in Twitter showdown over billionaire's Ukraine peace plan,"Billionaire Elon Musk on Monday asked Twitter users to weigh in on a plan to end Russia's war in Ukraine that drew immediate condemnation from Ukrainians, including President Volodymyr Zelenskiy, who responded with his own poll.",https://www.reuters.com/world/musk-zelenskiy-twitter-showdown-over-billionaires-peace-plan-2022-10-03/,https://www.reuters.com/resizer/AlzhK4P4qvIuLTJ0XZEtujLIbQg=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2CVCH7BKBBLHNF4XAIWQ3TH4FA.jpg,2022-10-03,tesla
https://www.reuters.com/,"Samsung Elec to triple advanced chip production by 2027, sees robust demand",Samsung Electronics' chip contract manufacturing business said on Tuesday it plans to more than triple its advanced chips production capacity by 2027 to meet strong demand despite current global economic headwinds.,https://www.reuters.com/technology/samsung-elec-triple-advanced-chip-production-by-2027-sees-robust-demand-2022-10-03/,https://www.reuters.com/resizer/GW_dgduHD0NslonDi-MvXDX-R2Y=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UR5RNKTDGRISFINFG7CZ7P4POY.jpg,2022-10-03,tesla
https://www.reuters.com/,"Tesla slides on widening delivery and production gap, demand worries","Tesla Inc shares closed down 8.6% in their steepest single-day decline in four months on Monday after third-quarter vehicle deliveries fell short of Wall Street estimates due to logistic hurdles, with slowing outlook for economic growth raising doubts about demand.",https://www.reuters.com/business/autos-transportation/tesla-slides-logistic-issues-widen-deliveries-production-gap-2022-10-03/,https://www.reuters.com/resizer/RM1J79cYT8euM5ARY2xCvYY0mHI=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/4PSEQ3BPOJINNKDW32WHCPYIGI.jpg,2022-10-03,tesla
https://www.reuters.com/,GM outsells Toyota in U.S. as industry braces for brakes on demand,"General Motors Co outsold Japanese automaker Toyota Motor Corp in the United States in the third quarter, data on Monday showed, but analysts and investors are fretting that a darkening economic picture will lead to a drop in car sales.",https://www.reuters.com/business/autos-transportation/inflation-put-us-auto-industry-low-gear-2022-10-03/,https://www.reuters.com/resizer/2mguh8E1t6FHf_P54kEVJXfLNds=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/G6UH5UE27JISPBGFO6JPAO5XP4.jpg,2022-10-03,tesla
https://www.reuters.com/,Wall Street closes with sharp gains as final quarter begins,Wall Street's three major indexes rallied to close over 2% as U.S. Treasury yields tumbled.,https://www.reuters.com/markets/europe/nasdaq-futures-hobbled-by-tesla-weakness-2022-10-03/,https://www.reuters.com/resizer/RAfuXzeE3M6ZpV6FAZHG_2KeikM=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/P3GQBSXSJRLATOERAVVK3BSFCM.jpg,2022-10-03,tesla
