Source,title,description,url,image,date,keyword,article
https://www.reuters.com/,Fisker to sell electric SUV in India with view to local production,"U.S. startup Fisker Inc will begin selling its Ocean electric sport-utility vehicle (SUV) in India next July and could begin manufacturing its cars locally within a few years, the company's chief executive officer told Reuters.",https://www.reuters.com/business/autos-transportation/fisker-sell-electric-suv-india-with-view-local-production-2022-09-23/,https://www.reuters.com/resizer/Nl4cKFODwWEW6J4jqxsc5jZNoD8=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RSS55UMV3ZOJ3AVYST4QLH54CY.jpg,2022-09-23,tesla,"Summary
Companies
Fisker to launch brand with imported Ocean electric SUV
Scouting for showroom space, in talks with auto part makers
Considers local production, but not before 2026
Electric cars make up just 1% of total auto sales in India
NEW DELHI, Sept 23 (Reuters) - U.S. startup Fisker Inc (FSR.N) will begin selling its Ocean electric sport-utility vehicle (SUV) in India next July and could begin manufacturing its cars locally within a few years, the company's chief executive officer told Reuters.
Sales of electric cars in India will gather pace by 2025-26, Henrik Fisker said in an interview in New Delhi, adding that the company wants to secure a first-mover advantage.
""Ultimately, India will go full electric. It may not go as fast as the U.S., China or Europe, but we want to be one of the first ones to come in here,"" Fisker said.
Register now for FREE unlimited access to Reuters.com
Register
Electric cars currently make up just 1% of India's roughly 3 million annual car sales, with insufficient charging infrastructure and high battery costs partly to blame for the slow shift.
The government, which wants to increase this share to 30% by 2030, is offering companies billions of dollars in incentives to build their EVs and associated parts locally.
Fisker rival Tesla Inc (TSLA.O) put its India entry plans on hold after failing to secure a lower import tariff for its cars. Like Fisker, it first wanted to import vehicles to test the market before committing to local manufacturing.
While Fisker admitted it is ""very expensive"" to import vehicles into India, the company wants to use the Ocean to build its brand, with its premium pricing likely to limit numbers, he said.
The Ocean retails at around $37,500 in the United States but importing it to India would add logistics costs and a 100% import tax. That would put it out of reach of most buyers in a market where the bulk of cars sold are priced under $15,000.
""Ultimately, if you want to have somewhat of a larger volume in India, you almost have to start building a vehicle here or at least do some assembly,"" Fisker said.
The company's next EV - the smaller, five-seater PEAR - is being considered for production in India but not before 2026, he said.
""If we can get that vehicle just below $20,000 locally in India, that would be ideal. Then I think we'll get to a certain volume and market share,"" he said, adding that if they find the right local partner the timeline could be shorter.
To set up a plant in India would require volume of at least 30,000 to 40,000 cars a year, Fisker said.
He did not directly comment on the size of investment the company considered necessary, but said that to set up a plant with an annual production capacity of 50,000 cars would likely cost $800 million in India.
Fisker has a contract manufacturing agreement with Magna International (MG.TO) which will produce the Ocean at its Austrian unit and ship it to India. It also has an agreement with Foxconn to build the PEAR.
The company is scouting for real estate space to open a New Delhi showroom and is meeting auto component suppliers to source parts for its global production, he said.
""Already we are starting to build some relationships,"" he said.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Aditi Shah; Editing by Kirsten Donovan
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,"GM, Hertz make deal to deploy up to 175,000 EVs","Rental car company Hertz Global Holdings plans to order up to 175,000 General Motors Co electric vehicles over the next five years, its latest move toward zero-emission models.",https://www.reuters.com/business/autos-transportation/hertz-plans-order-up-175000-gm-electric-vehicles-by-2027-2022-09-20/,https://www.reuters.com/resizer/-NHiogpwHSp3sS9so7JV9q1ElLo=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/BYYMZRY4CNIYFMJNEWHGXPTLM4.jpg,2022-09-20,tesla,"Sept 20 (Reuters) - (This Sept. 20 story was officially corrected as Hertz corrected its estimate in final paragraph to 1.8 million tonnes from 3.5 million)
Rental car company Hertz Global Holdings (HTZ.O) plans to order up to 175,000 General Motors Co (GM.N) electric vehicles over the next five years, its latest move toward zero-emission models.
The multi-billion dollar, multi-year deal could be the first of many GM agreements to supply electric vehicles to rental car companies, said Steve Carlisle, the automaker's North American operations chief, on a conference call.
Register now for FREE unlimited access to Reuters.com
Register
""It's an enormous first step,"" Carlisle said, adding that GM is in talks about similar deals with other rental car companies.
GM shares fell more than 5% Tuesday afternoon following rival Ford Motor Co's warning late Monday that supply chain costs were $1 billion higher than expected in the third quarter. Ford shares were down more than 11%. read more
Automakers have cut reliance on low-profit, bulk sales to rental car agencies as supply chain problems curtailed production. Carlisle said GM expects to deliver electric vehicles to Hertz at close to retail profit margins.
GM Chief Executive Mary Barra said in a statement ""each rental experience will further increase purchase consideration for our products and drive growth for our company.""
GM aims to have capacity to build 1 million EVs annually in North America by 2025. Carlisle said the sales to Hertz fits within that previously announced goal.
Such deals would ease pressure on GM to hit EV sales targets through individual customer sales, a market dominated by Tesla Inc (TSLA.O).
Hertz's current goal is for one-quarter of its fleet to be electric by the end of 2024. In April, Hertz said it would buy up to 65,000 electric vehicles over five years from EV maker Polestar, a joint venture between China's Geely and its Swedish Volvo unit. In October 2021, Hertz announced plans to purchase 100,000 Tesla electric cars, primarily the Model 3.
The GM deal ""spans a wide range of vehicle categories and price points — from compact and midsize SUVs to pickups, luxury vehicles,"" the companies said.
The first GM electric vehicles to ship to Hertz will be Chevrolet Bolt models starting early next year, Carlisle said.
GM expects Hertz to deploy many of its EVs in Los Angeles and San Francisco, helping to meet California electric vehicle quotas. Hertz Senior Vice President Jeff Nieman said the company plans to offer EVs across its network, with priority to Los Angeles, San Francisco, Miami and Orlando.
Hertz estimated customers could travel more than 8 billion miles in these EVs and save about 1.8 million tonnes of carbon dioxide-equivalent emissions versus gasoline-powered vehicles.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by David Shepardson; Editing by Jonathan Oatis and Richard Chang
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Tesla countersues California agency behind race bias lawsuit,Tesla Inc on Thursday countersued the California agency that has accused the electric carmaker of tolerating widespread race discrimination at its flagship assembly plant.,https://www.reuters.com/legal/tesla-countersues-california-agency-behind-race-bias-lawsuit-2022-09-22/,https://www.reuters.com/resizer/Ys82gggIblsLJRdtfIG4Oxbb3zU=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/S7G2NN6NONI6NDXIW4ZYYL2HRA.jpg,2022-09-22,tesla,"Companies
Tesla Inc
Follow
Sept 22 (Reuters) - Tesla Inc (TSLA.O) on Thursday countersued the California agency that has accused the electric carmaker of tolerating widespread race discrimination at its flagship assembly plant.
Tesla in a complaint filed in state court in Alameda County said the California Civil Rights Department (CRD), which sued the company in February, adopted ""underground regulations"" allowing it to file the lawsuit without first notifying Tesla of the claims or giving the company a chance to settle.
Tesla's counter-lawsuit alleges that the CRD violated state law by not seeking public comment before adopting procedures for investigating and suing employers.
Register now for FREE unlimited access to Reuters.com
Register
And those procedures flout requirements that the CRD disclose details of its investigations to employers and make attempts to settle claims outside of court before suing, Tesla claims.
Tesla is seeking an order barring the CRD from following its allegedly unlawful procedures in the investigation of any employer and requiring the agency to adopt new regulations through a formal rulemaking process.
A spokesperson for the CRD did not immediately respond to a request for comment.
1/3
The Tesla factory is seen in Fremont, California, U.S. June 22, 2018. REUTERS/Stephen Lam/File Photo
Read More
Tesla had made similar claims in a bid to dismiss the California agency's lawsuit, which was denied by a state judge last month.
But the complaint filed on Thursday may allow the company's lawyers to uncover new details about the CRD's practices and its investigation of Tesla through the discovery process, which could bolster its efforts to have the case dismissed.
The CRD claims Tesla's flagship Fremont, California, plant is a racially segregated workplace where Black employees faced racist slurs and graffiti and were discriminated against in terms of job assignments, discipline and pay.
Tesla has denied wrongdoing and said the lawsuit was politically motivated.
The company in June had asked a separate California agency, the Office of Administrative Law, to investigate the CRD's alleged adoption of unlawful policies. The OAL last month declined to review Tesla's petition without explaining its decision.
Austin, Texas-based Tesla is also facing a series of race and sex discrimination cases by workers, most involving the Fremont plant.
A state judge in April cut a jury verdict for a Black worker who alleged racial harassment from $137 million to $15 million. The plaintiff rejected the reduced award and opted for a new trial, which is scheduled for March 2023.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Daniel Wiessner in Albany, New York, Editing by Alexia Garamfalvi and Lisa Shumaker
Our Standards: The Thomson Reuters Trust Principles.
Daniel Wiessner
Thomson Reuters
Dan Wiessner (@danwiessner) reports on labor and employment and immigration law, including litigation and policy making. He can be reached at daniel.wiessner@thomsonreuters.com."
https://www.reuters.com/,"LG Energy inks cobalt, lithium supply deals with three Canadian miners",South Korean battery maker LG Energy Solution said on Friday it has signed agreements on lithium and cobalt sourcing with three Canadian mining firms in a bid to expand its footprint in North America.,https://www.reuters.com/technology/lg-energy-inks-cobalt-lithium-supply-deals-with-three-canadian-miners-2022-09-23/,https://www.reuters.com/resizer/WNKsujduhwTjM9KUEx9q8ykkz5k=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Y62E53D5YFOJHKDSQG7KYMX2CM.jpg,2022-09-23,tesla,"SEOUL, Sept 23 (Reuters) - South Korean battery maker LG Energy Solution (373220.KS) said on Friday it has signed agreements on lithium and cobalt sourcing with three Canadian mining firms in a bid to expand its footprint in North America.
The Tesla (TSLA.O) supplier said in a statement the agreements were part of an effort to expand mid- to long-term supply contracts with companies that mine and process key battery materials in North America.
The U.S. Inflation Reduction Act (IRA), signed into law by U.S. President Joe Biden in August, requires a percentage of critical minerals used in electric vehicle (EV) batteries come from the United States or an American free-trade partner.
LG said the three Canadian mining firms, Electra, Avalon and Snowlake, will supply LG with 7,000 tonnes of cobalt sulfate for three years from 2023, 55,000 tonnes of lithium hydroxide for five years from 2025, and 200,000 tonnes of lithium hydroxide for 10 years, respectively.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Joyce Lee; Editing by Sherry Jacob-Phillips
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Wall Street ends down for third day as growth concerns weigh on tech,"Major Wall Street indexes ended lower on Thursday, falling for a third straight session as investors reacted to the Federal Reserve's latest aggressive move to rein in inflation by selling growth stocks, including technology companies.",https://www.reuters.com/markets/europe/futures-steady-after-fed-driven-selloff-2022-09-22/,https://www.reuters.com/resizer/tuI-f8daEDreTefHCcw1-BP3I6g=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GEUQVMUF2BO4XNAYAD6YR6OR44.jpg,2022-09-22,tesla,"Summary
Companies
Tech stocks down in aftermath of Fed's latest rate move
Investors concerned about possibility of recession
Darden Restaurants falls on downbeat quarterly sales
JetBlue posts lowest close since March 2020
Indexes down: Dow 0.35%, S&P 0.84%, Nasdaq 1.37%
Sept 22 (Reuters) - Major Wall Street indexes ended lower on Thursday, falling for a third straight session as investors reacted to the Federal Reserve's latest aggressive move to rein in inflation by selling growth stocks, including technology companies.
The Fed lifted rates by an expected 75 basis points on Wednesday and signaled a longer trajectory for policy rates than markets had priced in, fuelling fears of further volatility in stock and bond trading in a year that has already seen bear markets in both asset classes. read more
The U.S. central bank's projections for economic growth released on Wednesday were also eye-catching, with growth of just 0.2% this year, rising to 1.2% for 2023.
Register now for FREE unlimited access to Reuters.com
Register
Jitters were already present in the market after a number of companies - most recently FedEx Corp and Ford Motor Co (F.N) - issued dire outlooks for earnings.
As of Friday, the S&P 500's estimated earnings growth for the third quarter is at 5%, according to Refinitiv data. Excluding the energy sector, the growth rate is at -1.7%.
The S&P 500's forward price-to-earnings ratio, a common metric for valuing stocks, is at 16.8 times earnings - far below the nearly 22 times forward P/E that stocks commanded at the start of the year.
Forward PE for the index has come down but is still above the long-term average
Nine of the 11 major S&P sectors fell, led by declines of 2.2% and 1.7%, respectively, in consumer discretionary (.SPLRCD) and financial (.SPSY) stocks.
Shares of megacap technology and growth companies such as Amazon.com Inc (AMZN.O), Tesla Inc (TSLA.O) and Nvidia Corp (NVDA.O) fell between 1% and 5.3% as benchmark U.S. Treasury yields hit an 11-year high.
1/2
Raindrops hang on a sign for Wall Street outside the New York Stock Exchange in Manhattan in New York City, New York, U.S., October 26, 2020. REUTERS/Mike Segar
Read More
Rising yields weigh particularly on valuations of companies in the technology sector, which have high expected future earnings and form a significant part of the market-cap weighted indexes such as the S&P 500.
The S&P 500 tech sector (.SPLRCT) has slumped 28% so far this year, compared with a 21.2% decline in the benchmark index.
""If we continue to have sticky inflation, and if (Fed Chair Jerome) Powell sticks to his guns as he indicates, I think we enter recession and we see significant drawdown on earnings expectations,"" said Mike Mullaney, director of global markets at Boston Partners.
""If this happens, I have high conviction under those conditions that we break 3,636,"" he added, referring to the S&P 500's mid-June low, its weakest point of the year.
The Dow Jones Industrial Average (.DJI) fell 107.1 points, or 0.35%, to 30,076.68, the S&P 500 (.SPX) lost 31.94 points, or 0.84%, to 3,757.99 and the Nasdaq Composite (.IXIC) dropped 153.39 points, or 1.37%, to 11,066.81.
Major U.S. airlines - which have enjoyed a rebound amid increased travel as pandemic restrictions end - were also down, with United Airlines (UAL.O) and American Airlines (AAL.O) falling 4.6% and 3.9% respectively. This took losses in the last three days to 11% for United and 10.6% for American.
JetBlue Airways Corp (JBLU.O), off 7.1% and also recording a third straight loss, closed at its lowest level since March 2020.
Darden Restaurants Inc (DRI.N) slid 4.4% after the Olive Garden parent reported downbeat first-quarter sales.
Volume on U.S. exchanges was 11.39 billion shares, compared with the 10.91 billion average for the full session over the last 20 trading days.
The S&P 500 posted one new 52-week high and 123 new lows; the Nasdaq Composite recorded 18 new highs and 699 new lows.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Sruthi Shankar, Medha Singh, Devik Jain and Ankika Biswas in Bengaluru and David French in New York; Editing by Shounak Dasgupta, Anil D'Silva and Deepa Babington
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Tesla recalls nearly 1.1 million U.S. vehicles to update window reversing software,"Tesla is recalling nearly 1.1 million U.S. vehicles because the window automatic reversal system may not react correctly after detecting an obstruction, increasing the risk of injury.",https://www.reuters.com/business/autos-transportation/tesla-recalls-nearly-11-million-us-vehicles-update-window-reversing-software-2022-09-22/,https://www.reuters.com/resizer/iSK6XuWRXbYq-6CtQZ4W2U_OXX0=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TFZW5373QJLFVITYN2LM5QEUVU.jpg,2022-09-22,tesla,"WASHINGTON, Sept 22 (Reuters) - Tesla (TSLA.O) is recalling nearly 1.1 million U.S. vehicles because the window automatic reversal system may not react correctly after detecting an obstruction, increasing the risk of injury.
The electric vehicle manufacturer told the National Highway Traffic SafetyAdministration (NHTSA) that it would perform an over-the-air software update of the automatic window reversal system. The recall covers some 2017-2022 Model 3, 2020-2021 Model Y, and 2021-2022 Model S and Model X vehicles.
Tesla said that it was not aware of any warranty claims, field reports, crashes, injuries, or deaths related to the recall.
Register now for FREE unlimited access to Reuters.com
Register
NHTSA said a closing window without the proper automatic reversing system may exert excessive force by pinching a driver or passenger before retracting, increasing the risk of injury.
NHTSA said the vehicles failed to comply with the requirements of a federal motor vehicle safety standard on power windows.
Tesla said that during product testing in August employees identified window automatic reversal system performance that had ""greater than expected variations in response to pinch detection.""
1/2
A Tesla logo is pictured on a car in the rain in the Manhattan borough of New York City, New York, U.S., May 5, 2021. REUTERS/Carlo Allegri
Read More
After extensive additional testing, Tesla determined that the vehicles' pinch detection and retraction performance in the test results did not meet automatic reversal systems requirements.
Tesla said that starting Sept. 13, vehicles in production and in pre-delivery received a software update that sets power-operated window operation to the requirements.
The software update ""enhances the calibration of the vehicle’s automatic window reversal system behavior,"" Tesla said.
Tesla shares were down 3.5% in Thursday afternoon trading.
Tesla Chief Executive Elon Musk on Twitter Thursday criticized the description of the callback as a recall.
""The terminology is outdated & inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries,"" he said.
Both NHTSA and Tesla in documents made public on Thursday referred to the campaign as a recall.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by David Shepardson; Editing by Mark Potter and Mark Porter
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,Renault ahead of schedule on EV partnerships - CEO,"French carmaker Renault will control 80% of its electric vehicle value chain well ahead of its 2030 target as it develops partnerships in batteries, electric motors and power electronics, its chief executive said on Thursday.",https://www.reuters.com/business/autos-transportation/renault-reach-its-goal-integrated-electric-vehicles-chain-before-2030-ceo-2022-09-22/,https://www.reuters.com/resizer/y1aiMM3m_cnsWTAm11ezuYobnW0=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OB634BG57RKHRJHPPC2GAXPBJI.jpg,2022-09-22,tesla,"PARIS, Sept 22 (Reuters) - French carmaker Renault (RENA.PA) will control 80% of its electric vehicle value chain well ahead of its 2030 target as it develops partnerships in batteries, electric motors and power electronics, its chief executive said on Thursday.
Luca de Meo said the research and development costs were too high to go it alone and drew parallels with Apple's business model, which he described as relying on a variety of partnerships when it first ventured into smartphones.
""Our old recipes are not enough anymore. The huge investments they (the shifts to electrification) require are not sustainable,"" de Meo told the Auto Motor and Sport congress in Stuttgart, Germany.
Register now for FREE unlimited access to Reuters.com
Register
""We want to co-invest, co-develop and co-create.""
Renault is pushing ahead with plans to split its electric vehicle (EV) and combustion engine businesses as it seeks to catch up with rivals such as Tesla (TSLA.O) and Volkswagen (VOWG_p.DE) in the race to cleaner driving.
It expects to unveil a detailed blueprint for the new EV entity at a capital markets day this autumn.
Three years ago, Renault controlled just 10% of the EV value chain. That figure now stood at 30% and would hit 80% well before the end of the decade, de Meo said.
Renault was forging partnerships ""all along the EV value chain"", he continued.
Alliance partners Nissan (7201.T) and Mitsubishi (7211.T) have not yet said whether they will take part in Renault's future EV unit.
Nissan chief executive Makoto Uchida told the Nikkei newspaper this week that discussions continued on the Japanese group's participation, whether through an investment or another form.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Gilles Guillaume; Editing by Sudip Kar-Gupta
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,California regulator sees 2035 EV mandate as 'sweet spot',"California's choice of 2035 as the deadline to end gasoline-only new car sales was the ""sweet spot"" that will sharply cut emissions but was also realistic for the industry, the head of the state's clean air regulator said on Tuesday.",https://www.reuters.com/business/autos-transportation/california-regulator-sees-2035-ev-mandate-sweet-spot-2022-09-20/,https://www.reuters.com/resizer/RSxdeR7rHTzcSgZMwbtihocUN5M=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/SNNGV4BZRRKG3PNP3C362KIF44.jpg,2022-09-20,tesla,"NEW YORK, Sept 20 (Reuters) - California's choice of 2035 as the deadline to end gasoline-only new car sales was the ""sweet spot"" that will sharply cut emissions but was also realistic for the industry, the head of the state's clean air regulator said on Tuesday.
""We had to be cognizant of where the automakers are, where the supply chains are, where the production facilities are,"" California Air Resources Board (CARB) chair Liane Randolph told Reuters in an interview during Climate Week, a summit that takes place alongside the U.N. General Assembly.
""I feel like we landed at the sweet spot.""
Register now for FREE unlimited access to Reuters.com
Register
In August, CARB said it would require all new vehicles sold in California by 2035 to be electric or plug-in hybrid electrics (PHEVs) after Governor Gavin Newsom issued a 2020 executive order directing the move. CARB said the rules will reduce smog-causing pollution from light-duty vehicles by 25% by 2037 and result in 9.5 million fewer conventional vehicles sold by 2035. Automakers in 2035 can sell no more than 20% of models as PHEVs.
California was not as aggressive as some environmental groups wanted, or Tesla (TSLA.O), which urged ending new gas-powered vehicles by 2030.
""Of course an EV-only automaker is going to want as high a standard as possible because that is going to create a market for their credits,"" Randolph said.
California needs a waiver from the U.S. Environmental Protection Agency to adopt the 2035 rules, which will open the request for public comment. ""Obviously it's their decision to make but I mean that's why the waiver exists. So California can move forward and protect its residents,"" she said.
President Joe Biden has called for 50% of all new vehicle sales by 2030 to be EVs or plug-in hybrids but not endorsed a phase-out date.
Some states that previously adopted California's zero emission vehicle rules have not yet signed on for the tougher 2035 phase-out date. A spokesman for Colorado's environmental agency told Reuters, ""Colorado is certainly not California and Colorado has our own plan.""
Randolph said ""some states are ready right now"" to adopt 2035 while others will ""get more comfortable as the models continue to roll out.""
She said the regulator has other transportation emissions reductions in the works on medium- and heavy-duty trucks and for in-state locomotives. Randolph added the state is ""working really hard on looking at the Imperial Valley as a potential source of lithium"" for EVs.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by David Shepardson, Editing by Rosalba O'Brien
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,China's Xpeng says CATL is no longer its largest battery supplier,"Xpeng has diversified its battery suppliers and no longer counts industry giant CATL as its primary supplier, the Chinese electric car maker's president said on Wednesday.",https://www.reuters.com/business/autos-transportation/chinas-xpeng-says-catl-is-no-longer-its-largest-battery-supplier-2022-09-21/,https://www.reuters.com/resizer/dumoWmvCZ0DEhtNaYIvOIwndLmM=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/N4TOJYPQBVO5ZM76FJGPJEDDYI.jpg,2022-09-21,tesla,"SHANGHAI, Sept 21 (Reuters) - Xpeng (9868.HK) has diversified its battery suppliers and no longer counts industry giant CATL (300750.SZ) as its primary supplier, the Chinese electric car maker's president said on Wednesday.
The disclosure by one of CATL's biggest clients reflects how Chinese EV automakers are starting to look for alternative suppliers in hope of better controlling costs, after dominant player CATL raised prices this year. read more
Xpeng was CATL's third-largest client after Tesla (TSLA.O) and Nio in terms of battery volumes installed in 2021, according to Chinese consulting firm Gaogong Industry Institute.
Register now for FREE unlimited access to Reuters.com
Register
Xpeng now uses several battery makers in addition to CATL, Brian Gu told reporters in an online interview on Wednesday on the sidelines of a launch for its new G9 flagship sports utility vehicle. He did not give a reason for the diversification.
But he said that Xpeng chose to work with Sunwoda (300207.SZ), a smaller Chinese battery maker, to develop a fast-charging battery for the G9 that would enable the SUV to achieve 80% charge in 15 minutes.
""We have already diversified our battery supplier arrangement. CATL is no longer our largest material supplier. We actually have worked with several high-quality battery suppliers, for example, EVE, CALB,"" Gu said.
CATL did not immediately respond to a request for comment.
Still, CATL remains far ahead of its competitors with a market share of 47.45% in China, while CALB ranked third and Sunwoda ranked fifth, accounting for 7% and 2.5%, respectively, of the total battery supplies in the first eight months, according to China Automotive Battery Innovation Alliance.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by Zhang Yan and Brenda Goh; Editing by Lisa Shumakere
Our Standards: The Thomson Reuters Trust Principles."
https://www.reuters.com/,"Analysis: Rally in U.S. consumer stocks teeters with Fed, inflation in focus","Expectations of more Federal Reserve tightening and economic worries are weighing on a rebound in consumer discretionary stocks, though some investors believe the sector will outperform other areas of the market if growth begins to wobble in coming months.",https://www.reuters.com/markets/us/rally-us-consumer-stocks-teeters-with-fed-inflation-focus-2022-09-21/,https://www.reuters.com/resizer/5rU-Ih9iYBp1mkuAWc2E0psfDiU=/480x0/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/O43QQIY2T5LMNJFC4B6WUWLRFU.jpg,2022-09-21,tesla,"NEW YORK, Sept 21 (Reuters) - Expectations of more Federal Reserve tightening and economic worries are weighing on a rebound in consumer discretionary stocks, though some investors believe the sector will outperform other areas of the market if growth begins to wobble in coming months.
The S&P 500’s consumer discretionary sector (.SPLRCD), a group of companies ranging from Amazon.com Inc (AMZN.O) and Tesla Inc (TSLA.O) to discount retailer TJX Companies Inc (TJX.N), is up 14.3% for the quarter to date following a pummeling when it lost nearly 35% in the first half of the year.
The broader S&P 500, by comparison, is up just 1.9% for the quarter, after a summer rally crumbled on worries the Fed will tighten rates at a faster clip than previously anticipated. The index is down 19.1% this year. read more
Register now for FREE unlimited access to Reuters.com
Register
The gains in the consumer discretionary sector may prove fleeting. Shares of Ford (F.N) fell nearly 12% on Tuesday after the automaker flagged a bigger-than-expected $1 billion hit from inflation, echoing warnings from sector constituents like Walmart and Target earlier in the year. The sector has fallen some 10% from its recent mid-August highs. read more
Still, some investors believe inflation and growth woes may already be largely reflected in many consumer discretionary shares. At the same time, they are betting these stocks can continue to benefit as consumers make purchases ranging from cruise tickets to new cars that they delayed early in the pandemic, said Randy Frederick, managing direction for trading and derivatives at Charles Schwab.
Eric Marshall, a portfolio manager at Hodges Capital, has been adding to positions in consumer discretionary stocks including retailer Academy Sports and Outdoors Inc (ASO.O), which is up 32.6% for the quarter, and Shoe Carnival Inc (SCVL.O), which is up 0.4% for the quarter.
""It's not even a question as to whether there's going to be a recession, but how severe it will be and for how long it will last,"" he said. ""But we're seeing a lot of consumer stocks that we think will hold up and come out of this in a better position.""
Consumer stocks are rallying despite looming Fed hikes.
Bets that consumer spending on non-essential items such as vacations, coffee and automobiles will stay comparatively strong even if the Fed's battle against inflation hurts growth have helped drive the sector's gains in recent months.
Amazon.com and Tesla, which together make up about 50% of the sector's weighting, are up 15% and 37.5% respectively for the quarter, fueling much of its performance. Many smaller constituents have also outperformed, including shares of General Motors Co and Chipotle Mexican Grill Inc (CMG.N), which are up nearly 30% over the same time.
There are signs consumers remain optimistic. Wages rose 5.2% over the year that ended in August, while consumer confidence rose more than expected the same month and U.S. retail sales rebounded. read more
The Fed's rate hikes, meanwhile, will only slightly increase the unemployment rate to 4.1% by the end of 2023 from its current 3.7%, Goldman Sachs estimates.
At the same time, U.S. gasoline prices are expected to continue falling through the end of the year as refiners overproduce fuel to rebuild low inventories. That should continue bolstering discretionary stocks, since consumers spend roughly 80% of their savings at the pump on restaurants, entertainment or at department stores, according to estimates by J.P. Morgan Chase & Co. read more
""Continued Fed rate hikes imply that the broad economy remains on a growth track, which typically is associated with strong consumer consumption trends,"" said Terry Sandven, chief equity strategist at U.S. Bank Wealth Management. ""Consumers do not appear to be overextended.""
Inflation and supply chain woes, however, are never far from investors' minds. Global fund managers have remained bearish on consumer discretionary stocks despite recent gains, with nearly 25% of those surveyed by BofA Global Research this month underweight the sector - the most of any group.
Shares will likely remain volatile until there is more evidence that the Fed has inflation under control, said Sam Stovall, chief investment strategist at CFRA Research.
""Selling in this group will likely continue until investors again believe that future inflation measures will begin to ease,"" Stovall said.
Register now for FREE unlimited access to Reuters.com
Register
Reporting by David Randall; Editing by Ira Iosebashvili and Josie Kao
Our Standards: The Thomson Reuters Trust Principles."
